Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,CO2 emissions (kt),EN.ATM.CO2E.KT,7390,7380,7440,..,..
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,512.012778129357,516.679862210543,485.668418729808,494.179349886029,516.747870807558
Afghanistan,AFG,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..
Afghanistan,AFG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,24.7402992248535,25.082799911499,21.422700881958,..,..
Albania,ALB,CO2 emissions (kt),EN.ATM.CO2E.KT,4930,5600,5560,..,..
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,4124.05538986272,4531.0193737689,5287.66369446913,5395.65953185375,5246.29230634793
Albania,ALB,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..
Albania,ALB,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,39.5872993469238,37.219799041748,38.2663993835449,..,..
Algeria,DZA,CO2 emissions (kt),EN.ATM.CO2E.KT,143350,145100,151670,..,..
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,3946.45244712537,4109.69821695727,4142.01855842917,3989.66827645236,3306.85820838104
Algeria,DZA,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..
Algeria,DZA,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.0802000015974045,0.14360000193119,0.193299993872643,..,..
American Samoa,ASM,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,12038.2496994923,11003.8297642807,11521.6097798453,11715.3601388487,12844.9009909959
American Samoa,ASM,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..
American Samoa,ASM,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1.72140002250671,2.89809989929199,2.85660004615784,..,..
Andorra,AND,CO2 emissions (kt),EN.ATM.CO2E.KT,470,470,460,..,..
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,37475.6350587526,38964.904478265,41791.9698372411,40897.3308728669,..
Andorra,AND,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..
Andorra,AND,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,19.2558002471924,19.0631999969482,18.5060005187988,..,..
Angola,AGO,CO2 emissions (kt),EN.ATM.CO2E.KT,35410,30840,27340,..,..
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,3506.07312818832,4095.8100568707,3289.64399476678,2809.62608839129,1776.16686789531
Angola,AGO,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..
Angola,AGO,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,49.0080986022949,56.1805000305176,56.7854995727539,..,..
Antigua and Barbuda,ATG,CO2 emissions (kt),EN.ATM.CO2E.KT,500,500,530,..,..
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,15198.7429664112,15383.5763979856,16679.5916624545,17376.6496765004,13992.7444804497
Antigua and Barbuda,ATG,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..
Antigua and Barbuda,ATG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.598399996757507,0.602199971675873,0.904900014400482,..,..
Argentina,ARG,CO2 emissions (kt),EN.ATM.CO2E.KT,184280,180120,177410,..,..
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,12790.2424732447,14613.041824658,11795.1593866287,10056.637940265,8579.01777315683
Argentina,ARG,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..
Argentina,ARG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,9.37689971923828,10.3684997558594,10.5207996368408,..,..
Armenia,ARM,CO2 emissions (kt),EN.ATM.CO2E.KT,5070,5320,5550,..,..
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,3591.82805221639,3914.52785436696,4220.54032079145,4604.64632355695,4266.01807420946
Armenia,ARM,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..
Armenia,ARM,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,13.15149974823,12.5626001358032,11.1330003738403,..,..
Aruba,ABW,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,28452.1706146796,29350.8050189137,30253.2793580195,..,..
Aruba,ABW,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..
Aruba,ABW,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,6.99459981918335,6.69929981231689,8.0241003036499,..,..
Australia,AUS,CO2 emissions (kt),EN.ATM.CO2E.KT,383960,387200,386620,..,..
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,49881.7637140466,53934.2501750463,57180.7794001614,54875.2859563351,51692.8427477695
Australia,AUS,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..
Australia,AUS,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,9.4197998046875,9.68610000610352,9.64500045776367,..,..
Austria,AUT,CO2 emissions (kt),EN.ATM.CO2E.KT,63390,65830,63180,..,..
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,45276.8314351693,47312.0062332199,51461.4332150082,50114.4011099728,48586.8013213238
Austria,AUT,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..
Austria,AUT,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,34.6142997741699,33.959098815918,33.8456001281738,..,..
Azerbaijan,AZE,CO2 emissions (kt),EN.ATM.CO2E.KT,32660,31970,32020,..,..
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,3880.73873089556,4147.08971569171,4739.84171028393,4805.75371765917,4221.40747847848
Azerbaijan,AZE,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..
Azerbaijan,AZE,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1.9268000125885,1.90880000591278,1.97130000591278,..,..
"Bahamas, The",BHS,CO2 emissions (kt),EN.ATM.CO2E.KT,2190,2150,2260,..,..
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,31732.9191396131,32376.5091722572,33290.028135413,33799.4176940891,25194.0251444381
"Bahamas, The",BHS,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..
"Bahamas, The",BHS,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1.53460001945496,1.44379997253418,1.01929998397827,..,..
Bahrain,BHR,CO2 emissions (kt),EN.ATM.CO2E.KT,30200,30380,30750,..,..
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,22608.4525623673,23742.9373424159,24085.955988096,23551.9300857404,20409.9528047731
Bahrain,BHR,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..
Bahrain,BHR,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0,0,0,..,..
Bangladesh,BGD,CO2 emissions (kt),EN.ATM.CO2E.KT,73740,78710,82760,..,..
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,1401.56463513179,1563.76781861826,1698.13208078712,1855.74009422319,1961.6137487886
Bangladesh,BGD,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..
Bangladesh,BGD,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,33.5362014770508,31.6032009124756,30.7061996459961,..,..
Barbados,BRB,CO2 emissions (kt),EN.ATM.CO2E.KT,1310,1200,1250,..,..
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,16900.0482858522,17391.6689084614,17745.2553725928,18148.4978451054,15373.8547035017
Barbados,BRB,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..
Barbados,BRB,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,3.50169992446899,5.16109991073608,5.83559989929199,..,..
Belarus,BLR,CO2 emissions (kt),EN.ATM.CO2E.KT,55210,56240,59310,..,..
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,5039.68188628499,5785.67067254068,6360.06247301284,6837.71782606351,6424.15217642722
Belarus,BLR,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..
Belarus,BLR,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,6.73449993133545,7.28859996795654,7.21979999542236,..,..
Belgium,BEL,CO2 emissions (kt),EN.ATM.CO2E.KT,94320,92770,93470,..,..
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,41984.1030335609,44089.3100875118,47519.5530968943,46591.4916067396,45159.3482229717
Belgium,BEL,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..
Belgium,BEL,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,9.20689964294434,9.63799953460693,10.6626996994019,..,..
Belize,BLZ,CO2 emissions (kt),EN.ATM.CO2E.KT,650,650,680,..,..
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,4856.97324853112,4945.85769867226,5001.42215663433,5078.80994441772,4115.17700795622
Belize,BLZ,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..
Belize,BLZ,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,35.4099998474121,41.2033996582031,40.1162986755371,..,..
Benin,BEN,CO2 emissions (kt),EN.ATM.CO2E.KT,7230,7360,7910,..,..
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1087.28733148547,1136.59387178448,1241.82529800958,1219.51550596905,1291.04097215441
Benin,BEN,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..
Benin,BEN,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,45.4240989685059,45.3801002502441,43.9723014831543,..,..
Bermuda,BMU,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,106885.878489327,111820.581466347,113023.185594268,117098.446325474,107079.479836627
